No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
231,gru_adagrad_tanh_ts10_d0,adagrad,tanh,10,0,0.48961,0.69972,0.53896,2.11133
232,gru_adagrad_tanh_ts15_d0,adagrad,tanh,15,0,0.61965,0.78718,0.60934,2.36759
233,gru_adagrad_sigmoid_ts5_d0,adagrad,sigmoid,5,0,1.06142,1.03025,0.79529,3.16812
234,gru_adagrad_sigmoid_ts10_d0,adagrad,sigmoid,10,0,1.01860,1.00926,0.78008,3.09706
235,gru_adagrad_sigmoid_ts15_d0,adagrad,sigmoid,15,0,0.91149,0.95472,0.74872,2.95534
236,gru_rmsprop_relu_ts5_d0,rmsprop,relu,5,0,0.35894,0.59912,0.44930,1.78445
237,gru_rmsprop_relu_ts10_d0,rmsprop,relu,10,0,0.33185,0.57606,0.42934,1.69656
238,gru_rmsprop_relu_ts15_d0,rmsprop,relu,15,0,0.53935,0.73440,0.60350,2.33368
239,gru_rmsprop_tanh_ts5_d0,rmsprop,tanh,5,0,0.31871,0.56454,0.42852,1.68810
240,gru_rmsprop_tanh_ts10_d0,rmsprop,tanh,10,0,0.34745,0.58945,0.45256,1.77015
241,gru_rmsprop_tanh_ts15_d0,rmsprop,tanh,15,0,0.47960,0.69253,0.56525,2.18818
242,gru_rmsprop_sigmoid_ts5_d0,rmsprop,sigmoid,5,0,0.61824,0.78629,0.64111,2.48157
243,gru_rmsprop_sigmoid_ts10_d0,rmsprop,sigmoid,10,0,1.07197,1.03536,0.89801,3.46656
244,gru_rmsprop_sigmoid_ts15_d0,rmsprop,sigmoid,15,0,0.38198,0.61805,0.47763,1.88008
245,gru_adam_relu_ts5_d1,adam,relu,5,0.01,1.37398,1.17217,0.80463,3.13333
246,gru_adam_relu_ts5_d5,adam,relu,5,0.05,0.70776,0.84128,0.58827,2.28695
247,gru_adam_relu_ts5_d10,adam,relu,5,0.1,1.08766,1.04291,0.72295,2.79801
